,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Text
0,Positive,2023-01-15 12:30:00,twitter,"nature,park",15,30,usa,enjoy beauti day park
1,Negative,2023-01-15 08:45:00,twitter,"traffic,morning",5,10,canada,traffic terribl morn
2,Positive,2023-01-15 15:45:00,instagram,"fitness,workout",20,40,usa,finish amaz workout
3,Positive,2023-01-15 18:20:00,facebook,"travel,adventure",8,15,uk,excit upcom weekend getaway
4,Neutral,2023-01-15 19:55:00,instagram,"cooking,food",12,25,australia,tri new recip dinner tonight
5,Positive,2023-01-16 09:10:00,twitter,"gratitude,positivevibes",25,50,india,feel grate littl thing life
6,Positive,2023-01-16 14:45:00,facebook,"rainydays,cozy",10,20,canada,raini day call cozi blanket hot cocoa
7,Positive,2023-01-16 19:30:00,instagram,"movienight,mustwatch",15,30,usa,new movi releas mustwatch
8,Negative,2023-01-17 08:00:00,twitter,"politics,debate",30,60,usa,polit discuss heat timelin
9,Neutral,2023-01-17 12:20:00,facebook,"summer,beachdays",18,35,australia,miss summer vibe beach day
10,Positive,2023-01-17 15:15:00,instagram,"blogging,newpost",22,45,usa,publish new blog post check
11,Negative,2023-01-18 10:30:00,twitter,"sickday,health",7,15,canada,feel bit weather today
12,Positive,2023-01-18 14:50:00,facebook,"cityexplore,hiddengems",12,25,uk,explor citi hidden gem
13,Positive,2023-01-18 18:00:00,instagram,"newyear,fitnessgoals",28,55,usa,new year new fit goal
14,Neutral,2023-01-19 09:45:00,twitter,"tech,innovation",15,30,india,technolog chang way live
15,Positive,2023-01-19 13:20:00,facebook,"reflection,future",20,40,usa,reflect past look ahead
16,Positive,2023-01-19 17:10:00,instagram,"petadoption,furryfriend",15,30,canada,adopt cute furri friend
17,Positive,2023-01-20 00:05:00,twitter,"gaming,latenight",18,35,uk,latenight game session friend
18,Neutral,2023-01-20 11:30:00,facebook,"ai,techconference",25,50,usa,attend virtual confer ai
19,Negative,2023-01-20 15:15:00,instagram,"winterblues,mood",8,15,usa,winter blue got feel low
20,Positive,2023-01-21 08:40:00,twitter,"reading,coffeetime",22,45,india,sip coffe enjoy good book
21,Positive,2023-01-21 13:20:00,facebook,"vr,virtualreality",15,30,usa,explor world virtual realiti
22,Positive,2023-01-21 16:45:00,instagram,"productivity,workfromhome",30,60,usa,product day tick todo list
23,Positive,2023-01-22 09:15:00,twitter,"fitness,challengeaccepted",20,40,uk,finish challeng workout routin
24,Positive,2023-01-22 14:30:00,facebook,"career,milestone",12,25,canada,celebr mileston work
25,Positive,2023-01-22 12:00:00,instagram,"brunch,friends",15,30,uk,sunday brunch friend
26,Positive,2023-01-23 16:20:00,facebook,"languagelearning,personalgrowth",25,50,india,learn new languag person growth
27,Positive,2023-01-23 19:45:00,instagram,"reading,quiettime",15,30,australia,quiet even good book
28,Positive,2023-01-24 11:30:00,twitter,"mentalhealth,selfcare",22,45,usa,reflect import mental health
29,Positive,2023-01-24 15:00:00,facebook,"art,paintinginprogress",12,25,canada,new paint progress
30,Positive,2023-01-24 17:30:00,instagram,"roadtrip,scenicviews",18,35,uk,weekend road trip explor scenic view
31,Positive,2023-01-25 18:00:00,twitter,"teatime,sunset",15,30,india,enjoy cup tea watch sunset
32,Positive,2023-01-25 13:15:00,facebook,"coding,enthusiasm",30,60,usa,code new project enthusiasm
33,Positive,2023-01-26 09:45:00,instagram,"inspiration,workshop",25,50,usa,feel inspir attend workshop
34,Positive,2023-01-26 14:20:00,twitter,"wintersports,fun",15,30,canada,winter sport day local park
