,Text,Timestamp,Platform,Hashtags,Retweets,Likes,Country,MappedSentiment,Platform_encoded_1,Platform_encoded_2,SentimentEncoded,Country_encoded
0,enjoy beauti day park,2023-01-15 12:30:00,twitter,"Nature, Park",15,30,usa,Positive,0,1,3,5
1,traffic terribl morn,2023-01-15 08:45:00,twitter,"Traffic, Morning",5,10,canada,Negative,0,1,0,1
2,finish amaz workout,2023-01-15 15:45:00,instagram,"Fitness, Workout",20,40,usa,Positive,1,0,3,5
3,excit upcom weekend getaway,2023-01-15 18:20:00,facebook,"Travel, Adventure",8,15,uk,Positive,0,0,3,4
4,tri new recip dinner tonight,2023-01-15 19:55:00,instagram,"Cooking, Food",12,25,australia,Neutral,1,0,1,0
5,feel grate littl thing life,2023-01-16 09:10:00,twitter,"Gratitude, PositiveVibes",25,50,india,Positive,0,1,3,2
6,raini day call cozi blanket hot cocoa,2023-01-16 14:45:00,facebook,"RainyDays, Cozy",10,20,canada,Positive,0,0,3,1
7,new movi releas,2023-01-16 19:30:00,instagram,"MovieNight, MustWatch",15,30,usa,Positive,1,0,3,5
8,polit discuss heat timelin,2023-01-17 08:00:00,twitter,"Politics, Debate",30,60,usa,Negative,0,1,0,5
9,miss summer vibe beach day,2023-01-17 12:20:00,facebook,"Summer, BeachDays",18,35,australia,Neutral,0,0,1,0
10,publish new blog check,2023-01-17 15:15:00,instagram,"Blogging, NewPost",22,45,usa,Positive,1,0,3,5
11,feel bit weather today,2023-01-18 10:30:00,twitter,"SickDay, Health",7,15,canada,Negative,0,1,0,1
12,explor citi hidden gem,2023-01-18 14:50:00,facebook,"CityExplore, HiddenGems",12,25,uk,Positive,0,0,3,4
13,new year new fit goal,2023-01-18 18:00:00,instagram,"NewYear, FitnessGoals",28,55,usa,Positive,1,0,3,5
14,technolog chang way live,2023-01-19 09:45:00,twitter,"Tech, Innovation",15,30,india,Neutral,0,1,1,2
15,reflect past look ahead,2023-01-19 13:20:00,facebook,"Reflection, Future",20,40,usa,Positive,0,0,3,5
16,adopt cute furri friend,2023-01-19 17:10:00,instagram,"PetAdoption, FurryFriend",15,30,canada,Positive,1,0,3,1
17,game session friend,2023-01-20 00:05:00,twitter,"Gaming, LateNight",18,35,uk,Positive,0,1,3,4
18,attend virtual confer ai,2023-01-20 11:30:00,facebook,"AI, TechConference",25,50,usa,Neutral,0,0,1,5
19,winter blue got feel low,2023-01-20 15:15:00,instagram,"WinterBlues, Mood",8,15,usa,Negative,1,0,0,5
20,sip coffe enjoy good book,2023-01-21 08:40:00,twitter,"Reading, CoffeeTime",22,45,india,Positive,0,1,3,2
21,explor world virtual realiti,2023-01-21 13:20:00,facebook,"VR, VirtualReality",15,30,usa,Positive,0,0,3,5
22,product day tick list,2023-01-21 16:45:00,instagram,"Productivity, WorkFromHome",30,60,usa,Positive,1,0,3,5
23,finish challeng workout routin,2023-01-22 09:15:00,twitter,"Fitness, ChallengeAccepted",20,40,uk,Positive,0,1,3,4
24,celebr mileston work,2023-01-22 14:30:00,facebook,"Career, Milestone",12,25,canada,Positive,0,0,3,1
25,sunday brunch friend,2023-01-22 12:00:00,instagram,"Brunch, Friends",15,30,uk,Positive,1,0,3,4
26,learn new languag person growth,2023-01-23 16:20:00,facebook,"LanguageLearning, PersonalGrowth",25,50,india,Positive,0,0,3,2
27,quiet even good book,2023-01-23 19:45:00,instagram,"Reading, QuietTime",15,30,australia,Positive,1,0,3,0
28,reflect import mental health,2023-01-24 11:30:00,twitter,"MentalHealth, SelfCare",22,45,usa,Positive,0,1,3,5
29,new paint progress,2023-01-24 15:00:00,facebook,"Art, PaintingInProgress",12,25,canada,Positive,0,0,3,1
30,weekend road trip explor scenic view,2023-01-24 17:30:00,instagram,"RoadTrip, ScenicViews",18,35,uk,Positive,1,0,3,4
31,enjoy cup tea watch sunset,2023-01-25 18:00:00,twitter,"TeaTime, Sunset",15,30,india,Positive,0,1,3,2
32,code new project enthusiasm,2023-01-25 13:15:00,facebook,"Coding, Enthusiasm",30,60,usa,Positive,0,0,3,5
33,feel inspir attend workshop,2023-01-26 09:45:00,instagram,"Inspiration, Workshop",25,50,usa,Positive,1,0,3,5
34,winter sport day local park,2023-01-26 14:20:00,twitter,"WinterSports, Fun",15,30,canada,Positive,0,1,3,1
35,qualiti time famili weekend,2023-01-26 17:40:00,facebook,"FamilyTime, Weekend",22,45,uk,Positive,0,0,3,4
36,attend live music concert tonight,2023-01-27 20:00:00,instagram,"Music, ConcertNight",18,35,usa,Positive,1,0,3,5
37,practic mind medit,2023-01-27 12:30:00,twitter,"Mindfulness, Meditation",15,30,india,Positive,0,1,3,2
38,tri new dessert recip,2023-01-27 16:10:00,facebook,"Dessert, Cooking",12,25,canada,Positive,0,0,3,1
39,excit upcom game tournament,2023-01-28 09:00:00,instagram,"Gaming, Tournament",30,60,usa,Positive,1,0,3,5
40,plan garden makeov spring,2023-01-28 14:45:00,twitter,"Gardening, Spring",25,50,usa,Positive,0,1,3,5
41,celebr friend birthday tonight,2023-01-28 19:30:00,facebook,"Birthday, Celebration",15,30,uk,Positive,0,0,3,4
42,feel accomplish product day,2023-01-29 17:00:00,instagram,"Accomplished, Success",22,45,india,Positive,1,0,3,2
43,cozi even good movi,2023-01-29 20:20:00,twitter,"CozyNight, MovieTime",18,35,canada,Positive,0,1,3,1
44,explor local art galleri weekend,2023-01-30 11:30:00,facebook,"Art, GalleryExplore",15,30,usa,Positive,0,0,3,5
45,new book releas favorit author,2023-01-30 15:45:00,instagram,"BookRelease, FavoriteAuthor",12,25,uk,Positive,1,0,3,4
46,attend virtual realiti meetup,2023-01-30 18:30:00,twitter,"VRMeetup, VirtualReality",28,55,india,Positive,0,1,3,2
47,reflect beauti natur,2023-01-31 10:45:00,facebook,"Nature, Reflection",15,30,australia,Positive,0,0,3,0
48,cook special dinner love one,2023-01-31 19:00:00,instagram,"Cooking, SpecialDinner",20,40,usa,Positive,1,0,3,5
49,feel optimist week ahead,2023-01-31 16:20:00,twitter,"Optimism, NewWeek",15,30,canada,Positive,0,1,3,1
50,start new fit challeng tomorrow,2023-02-01 08:00:00,facebook,"FitnessChallenge, NewBeginnings",22,45,uk,Positive,0,0,3,4
51,sunday bike ride scenic trail,2023-02-01 13:30:00,instagram,"BikeRide, ScenicTrails",18,35,usa,Positive,1,0,3,5
52,ca believ injustic happen societi,2023-02-11 09:30:00,twitter,"Injustice, Angry",20,40,canada,Negative,0,1,0,1
53,feel sens fear watch thriller movi,2023-02-11 21:15:00,instagram,"Fear, ThrillerMovie",15,30,usa,Negative,1,0,0,5
54,heartbroken hear news natur disast,2023-02-12 14:45:00,facebook,"Sadness, NaturalDisaster",25,50,india,Negative,0,0,0,2
55,state world environ disgust,2023-02-12 18:20:00,twitter,"Disgust, Environment",18,35,uk,Negative,0,1,0,4
56,pure happi celebr love one achiev,2023-02-13 10:00:00,instagram,"Happiness, Celebration",30,60,usa,Positive,1,0,3,5
57,laughter best comedi show,2023-02-13 19:30:00,facebook,"Joy, ComedyShow",22,45,canada,Positive,0,0,3,1
58,share love posit vibe everyon,2023-02-14 08:30:00,twitter,"Love, SpreadLove",15,30,australia,Positive,0,1,3,0
59,amus incid brighten day,2023-02-14 14:20:00,instagram,"Amusement, FunTimes",18,35,uk,Positive,1,0,3,4
60,enjoy quiet even book tea,2023-02-14 19:45:00,facebook,"Enjoyment, BookTime",25,50,canada,Positive,0,0,3,1
61,admir beauti natur peac hike,2023-02-15 11:30:00,twitter,"Admiration, Nature",20,40,usa,Positive,0,1,3,5
62,send affection vibe follow,2023-02-15 16:00:00,instagram,"Affection, PositiveVibes",15,30,usa,Positive,1,0,3,5
63,experienc awe breathtak sunset,2023-02-15 20:30:00,facebook,"Awe, Breathtaking",22,45,australia,Neutral,0,0,1,0
64,disappoint servic local restaur,2023-02-16 09:00:00,twitter,"Disappointed, BadService",18,35,india,Negative,0,1,0,2
65,surpris gift friend made day,2023-02-16 14:45:00,instagram,"Surprise, Gift",25,50,usa,Neutral,1,0,1,5
66,find accept midst life challeng,2023-02-16 18:20:00,facebook,"Acceptance, Challenges",15,30,canada,Neutral,0,0,1,1
67,overflow ador ador pet,2023-02-17 10:45:00,twitter,"Adoration, PetLove",22,45,uk,Neutral,0,1,1,4
68,anticip thrill adventur come week,2023-02-17 07:30:00,instagram,"Anticipation, Adventure",20,40,usa,Neutral,1,0,1,5
69,bitter experi turn valuabl lesson,2023-02-17 15:00:00,facebook,"BitterLesson, Growth",18,35,usa,Negative,0,0,0,5
70,find calm midst busi day,2023-02-18 09:30:00,twitter,"Calmness, PeacefulMind",15,30,india,Neutral,0,1,1,2
71,confus cloud mind navig decis,2023-02-18 14:20:00,instagram,"Confusion, DecisionMaking",25,50,uk,Negative,1,0,0,4
72,excit build upcom vacat,2023-02-18 18:45:00,facebook,"Excitement, TravelPlans",22,45,canada,Positive,0,0,3,1
73,kind wit today restor faith human,2023-02-19 11:30:00,twitter,"Kindness, Humanity",20,40,usa,Positive,0,1,3,5
74,pride achiev person mileston,2023-02-19 16:00:00,instagram,"Pride, Milestone",30,60,australia,Positive,1,0,3,0
75,moment shame stand injustic,2023-02-19 19:45:00,facebook,"Shame, Injustice",15,30,india,Negative,0,0,0,2
76,fume anger heat argument,2023-02-20 09:30:00,twitter,"Anger, Argument",20,40,canada,Negative,0,1,0,1
77,fear unknown keep night,2023-02-20 21:15:00,instagram,"Fear, Unknown",15,30,usa,Negative,1,0,0,5
78,heartfelt sad bid farewel dear friend,2023-02-21 14:45:00,facebook,"Sadness, Farewell",25,50,india,Negative,0,0,0,2
79,state corrupt societi utterli disgust,2023-02-21 18:20:00,twitter,"Disgust, Corruption",18,35,uk,Negative,0,1,0,4
80,overflow happi welcom new famili member,2023-02-22 10:00:00,instagram,"Happiness, NewFamilyMember",30,60,uk,Positive,1,0,3,4
81,laughter key comedi show,2023-02-22 19:30:00,facebook,"Joy, StandUpComedy",22,45,canada,Positive,0,0,3,1
82,send love follow beauti day,2023-02-23 08:30:00,twitter,"Love, SpreadLove",15,30,australia,Positive,0,1,3,0
83,amus antic pure amus,2023-02-23 14:20:00,instagram,"Amusement, PetAntics",18,35,uk,Positive,1,0,3,4
84,enjoy everi moment enjoy,2023-02-23 19:45:00,facebook,"Enjoyment, Travel",25,50,usa,Positive,0,0,3,5
85,admir dedic volunt local chariti,2023-02-24 11:30:00,twitter,"Admiration, Volunteers",20,40,usa,Positive,0,1,3,5
86,send affection vibe friend famili,2023-02-24 16:00:00,instagram,"Affection, FamilyLove",15,30,usa,Positive,1,0,3,5
87,beauti night sky,2023-02-24 20:30:00,facebook,"Awe, StarryNight",22,45,australia,Neutral,0,0,1,0
88,disappoint lack progress person project,2023-02-25 09:00:00,twitter,"Disappointed, Project",18,35,india,Negative,0,1,0,2
89,surpris visit old friend brought tear joy,2023-02-25 14:45:00,instagram,"Surprise, OldFriends",25,50,usa,Neutral,1,0,1,5
90,embrac accept life up down,2023-02-25 18:20:00,facebook,"Acceptance, LifeJourney",15,30,canada,Neutral,0,0,1,1
91,overflow ador cute rescu puppi,2023-02-26 10:45:00,twitter,"Adoration, PuppyLove",22,45,uk,Neutral,0,1,1,4
92,anticip releas movi,2023-02-26 07:30:00,instagram,"Anticipation, MovieRelease",20,40,australia,Neutral,1,0,1,0
93,bitter experi custom servic depart,2023-02-26 15:00:00,facebook,"BitterExperience, CustomerService",18,35,usa,Negative,0,0,0,5
94,find calm amidst chao daili life,2023-02-27 09:30:00,twitter,"Calmness, InnerPeace",15,30,india,Neutral,0,1,1,2
95,confus reign tri make sens recent event,2023-02-27 14:20:00,instagram,"Confusion, MakingSense",25,50,uk,Negative,1,0,0,4
96,excit build surpris birthday parti,2023-02-27 18:45:00,facebook,"Excitement, SurpriseParty",22,45,canada,Positive,0,0,3,1
97,wit act kind made day,2023-02-28 11:30:00,twitter,"Kindness, ActsOfKindness",20,40,usa,Positive,0,1,3,5
98,pride complet challeng fit challeng,2023-02-28 16:00:00,instagram,"Pride, FitnessChallengeCompleted",30,60,uk,Positive,1,0,3,4
99,moment shame speak injustic,2023-02-28 19:45:00,facebook,"Shame, Injustice",15,30,india,Negative,0,0,0,2
100,reflect beauti divers world,2023-03-01 10:45:00,twitter,"Acceptance, Diversity",22,45,australia,Neutral,0,1,1,0
101,excit quiet even good book,2023-03-01 13:30:00,instagram,"Excitement, BookTime",18,35,usa,Positive,1,0,3,5
102,feel bitter unfair workplac,2023-03-01 17:45:00,twitter,"Bitter, Unfairness",15,30,canada,Negative,0,1,0,1
103,calm prevail practic mind,2023-03-02 18:00:00,facebook,"Calmness, Mindfulness",15,30,uk,Neutral,0,0,1,4
104,confus surround navig life choic,2023-03-02 13:15:00,instagram,"Confusion, LifeChoices",30,60,usa,Negative,1,0,0,5
105,excit weekend road trip explor new place,2023-03-02 16:45:00,twitter,"Excitement, WeekendAdventure",25,50,india,Positive,0,1,3,2
106,kind wit today restor faith human,2023-03-03 11:30:00,facebook,"Kindness, HumanityRestored",22,45,usa,Positive,0,0,3,5
107,pride accomplish person profession goal,2023-03-03 14:30:00,instagram,"Pride, Accomplishments",12,25,canada,Positive,1,0,3,1
108,shame true valu difficult situat,2023-03-03 12:00:00,twitter,"Shame, Integrity",15,30,uk,Negative,0,1,0,4
109,revisit old memori feel sens elat,2010-05-15 15:30:00,twitter,"Elation, Memories",20,40,canada,Positive,0,1,3,1
110,victori team brought euphoria citi,2021-08-10 21:15:00,instagram,"Euphoria, Victory",15,30,usa,Other,1,0,2,5
111,embrac beauti natur moment content,2011-06-20 14:45:00,facebook,"Contentment, Nature",25,50,india,Positive,0,0,3,2
112,medit seren lake find inner peac,2022-02-12 18:20:00,twitter,"Serenity, Meditation",18,35,uk,Other,0,1,2,4
113,overflow gratitud life bless,2012-11-25 10:00:00,instagram,"Gratitude, Blessed",30,60,australia,Positive,1,0,3,0
114,hope brighter tomorrow despit challeng,2013-04-05 19:30:00,facebook,"Hope, Optimism",22,45,usa,Neutral,0,0,1,5
115,empow make differ commun,2014-09-14 08:30:00,twitter,"Empowerment, Community",15,30,uk,Positive,0,1,3,4
116,compass action support local chariti event,2015-07-18 14:20:00,instagram,"Compassion, CharityEvent",18,35,canada,Positive,1,0,3,1
117,moment tender connect love one,2016-02-23 19:45:00,facebook,"Tenderness, FamilyTime",25,50,uk,Positive,0,0,3,4
118,arous excit await special announc,2017-10-30 11:30:00,twitter,"Arousal, Excitement",20,40,australia,Neutral,0,1,1,0
